session_id,user_id,course_id,intent,user_query,ai_response_summary,tokens_used,satisfaction_score,created_at
AIS0000083,USR033122,CRS019038,Concept Explanation,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3091,4,2026-02-12
AIS0000084,USR035195,CRS010800,Revision,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2232,2,2026-02-12
AIS0000085,USR017479,CRS029555,Career Guidance,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",744,2,2026-03-01
AIS0000086,USR028127,CRS048632,Career Guidance,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3181,5,2026-04-15
AIS0000087,USR024462,CRS016779,Revision,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2367,1,2026-02-28
AIS0000088,USR021933,CRS018372,Doubt Solving,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1963,1,2026-04-05
AIS0000089,USR015039,CRS043924,Assignment Help,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1197,5,2026-05-11
AIS0000090,USR036476,CRS045719,Doubt Solving,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",664,1,2026-02-26
AIS0000091,USR031686,CRS017167,Revision,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2742,1,2026-02-23
AIS0000092,USR002414,CRS000267,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2137,2,2026-03-12
AIS0000093,USR001942,CRS017688,Quiz Generation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2904,2,2026-03-07
AIS0000094,USR023411,CRS038355,Doubt Solving,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4287,4,2026-03-30
AIS0000095,USR013060,CRS030036,Quiz Generation,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3244,4,2026-05-03
AIS0000096,USR006966,CRS045317,Revision,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1504,1,2026-04-16
AIS0000097,USR025142,CRS010797,Career Guidance,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3851,1,2026-04-26
AIS0000098,USR009299,CRS027770,Concept Explanation,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",931,3,2026-03-28
AIS0000099,USR017669,CRS012702,Concept Explanation,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",755,4,2026-05-03
AIS0000100,USR044324,CRS037693,Quiz Generation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3384,1,2026-04-09
AIS0000101,USR019963,CRS034315,Concept Explanation,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1743,3,2026-05-12
AIS0000102,USR033524,CRS001517,Concept Explanation,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2439,5,2026-02-25
AIS0000103,USR040789,CRS000650,Assignment Help,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2877,1,2026-03-15
AIS0000104,USR016744,CRS038026,Quiz Generation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",813,2,2026-04-08
AIS0000105,USR043710,CRS009802,Revision,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4924,1,2026-05-02
AIS0000106,USR019217,CRS013269,Quiz Generation,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4863,2,2026-05-11
AIS0000107,USR016191,CRS047818,Career Guidance,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",757,5,2026-03-03
AIS0000108,USR037370,CRS034227,Doubt Solving,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4593,4,2026-04-30
AIS0000109,USR049380,CRS012518,Career Guidance,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4149,4,2026-02-17
AIS0000110,USR014322,CRS037266,Doubt Solving,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4312,5,2026-05-11
AIS0000111,USR029925,CRS024010,Quiz Generation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4901,2,2026-04-29
AIS0000112,USR030887,CRS022444,Doubt Solving,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2043,4,2026-03-27
AIS0000113,USR043101,CRS013042,Revision,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",820,2,2026-04-10
AIS0000114,USR043960,CRS030566,Concept Explanation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",444,5,2026-04-03
AIS0000115,USR030075,CRS034683,Revision,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2913,5,2026-03-05
AIS0000116,USR034921,CRS002532,Career Guidance,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",501,3,2026-03-12
AIS0000117,USR008346,CRS034377,Quiz Generation,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1173,5,2026-02-12
AIS0000118,USR013043,CRS019038,Quiz Generation,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3047,3,2026-03-06
AIS0000119,USR017258,CRS045967,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",415,2,2026-03-31
AIS0000120,USR019857,CRS039265,Quiz Generation,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3155,3,2026-03-26
AIS0000121,USR045243,CRS035427,Career Guidance,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4671,4,2026-03-20
AIS0000122,USR012604,CRS029222,Doubt Solving,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4358,2,2026-04-11
AIS0000123,USR013100,CRS023084,Revision,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3206,1,2026-04-05
AIS0000124,USR018073,CRS038849,Quiz Generation,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4610,1,2026-05-11
AIS0000125,USR005101,CRS034690,Doubt Solving,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1456,1,2026-04-23
AIS0000126,USR027440,CRS034699,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2254,4,2026-04-17
AIS0000127,USR016234,CRS042113,Career Guidance,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2871,5,2026-05-02
AIS0000128,USR016071,CRS021077,Concept Explanation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3505,2,2026-03-10
AIS0000129,USR047356,CRS004195,Concept Explanation,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1347,3,2026-02-22
AIS0000130,USR000877,CRS032647,Concept Explanation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3087,5,2026-04-01
AIS0000131,USR014371,CRS005563,Quiz Generation,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1325,2,2026-02-22
AIS0000132,USR030081,CRS001345,Concept Explanation,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3783,1,2026-05-10
AIS0000133,USR036371,CRS009966,Quiz Generation,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4894,5,2026-04-28
AIS0000134,USR006146,CRS035527,Career Guidance,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2072,1,2026-02-27
AIS0000135,USR031162,CRS017768,Revision,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4415,1,2026-03-31
AIS0000136,USR032123,CRS045429,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1618,4,2026-04-23
AIS0000137,USR011676,CRS028241,Quiz Generation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4325,1,2026-03-03
AIS0000138,USR016503,CRS002736,Quiz Generation,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3184,1,2026-04-18
AIS0000139,USR002103,CRS010409,Career Guidance,Explain a concept related to Cloud with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",326,5,2026-04-13
AIS0000140,USR035013,CRS035104,Doubt Solving,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1379,1,2026-02-25
AIS0000141,USR048604,CRS022825,Revision,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",791,2,2026-05-07
AIS0000142,USR013787,CRS048932,Career Guidance,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3280,1,2026-04-10
AIS0000143,USR041829,CRS024849,Revision,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3385,1,2026-05-11
AIS0000144,USR009552,CRS005979,Career Guidance,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4408,1,2026-03-16
AIS0000145,USR010428,CRS036462,Quiz Generation,Explain a concept related to AI with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4209,1,2026-03-08
AIS0000146,USR008185,CRS007093,Concept Explanation,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3747,4,2026-03-30
AIS0000147,USR017737,CRS041713,Assignment Help,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3801,3,2026-04-25
AIS0000148,USR032781,CRS012092,Quiz Generation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3595,4,2026-03-27
AIS0000149,USR029809,CRS013573,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",969,4,2026-03-08
AIS0000150,USR047537,CRS000558,Concept Explanation,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3840,1,2026-04-15
AIS0000151,USR043881,CRS011366,Doubt Solving,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3798,2,2026-05-10
AIS0000152,USR038590,CRS024408,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2595,5,2026-04-19
AIS0000153,USR019526,CRS036258,Career Guidance,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1199,3,2026-05-06
AIS0000154,USR014701,CRS013759,Career Guidance,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4930,5,2026-02-18
AIS0000155,USR010388,CRS009422,Quiz Generation,Explain a concept related to Leadership with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",571,5,2026-04-15
AIS0000156,USR030374,CRS046309,Doubt Solving,Explain a concept related to Full Stack with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1750,5,2026-04-23
AIS0000157,USR028689,CRS025404,Career Guidance,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4368,4,2026-02-26
AIS0000158,USR027385,CRS041117,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2225,5,2026-04-06
AIS0000159,USR015192,CRS006057,Concept Explanation,Explain a concept related to Project Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",905,2,2026-05-12
AIS0000160,USR004796,CRS025470,Career Guidance,Explain a concept related to Cybersecurity with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4212,2,2026-02-14
AIS0000161,USR032261,CRS003665,Concept Explanation,Explain a concept related to Data Science with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4132,4,2026-04-06
AIS0000162,USR027316,CRS035038,Assignment Help,Explain a concept related to Quality Management with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1978,4,2026-03-02
AIS0000163,USR034144,CRS003794,Career Guidance,Explain a concept related to Sales with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4450,5,2026-02-25
AIS0000164,USR028945,CRS038209,Concept Explanation,Explain a concept related to Finance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1142,1,2026-05-05
AIS0000165,USR010781,CRS033802,Career Guidance,Explain a concept related to Governance with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",2110,3,2026-03-11
AIS0000166,USR034501,CRS028608,Career Guidance,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4801,2,2026-03-13
AIS0000167,USR024100,CRS023619,Career Guidance,Explain a concept related to Manufacturing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4031,5,2026-04-11
AIS0000168,USR032592,CRS010023,Concept Explanation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1116,2,2026-04-25
AIS0000169,USR036595,CRS040278,Revision,Explain a concept related to HR with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",4989,5,2026-02-12
AIS0000170,USR042659,CRS031557,Career Guidance,Explain a concept related to Healthcare with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",1968,2,2026-02-26
AIS0000171,USR018705,CRS034213,Quiz Generation,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",461,4,2026-04-16
AIS0000172,USR020331,CRS033074,Career Guidance,Explain a concept related to Digital Marketing with examples.,"Generated personalized explanation, practice activity, and recommended next learning action.",3314,3,2026-02-24
