course_id,course_title,slug,domain,level,language,course_format,duration_hours,price_inr,trainer_id,mapped_skill_ids,ai_generated_summary,has_ai_tutor,has_gamified_assessment,certificate_enabled,rating,enrollment_count,status,created_at
CRS000019,Governance Advanced Mastery Program 19,governance-advanced-mastery-program-19-19,Governance,Advanced,Gujarati,Simulation Lab,24,14999,USR006529,SKL00460|SKL00312|SKL00346|SKL00061,"This course builds practical capability in Governance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.4,4773,Archived,2025-04-03
CRS000020,Finance Expert Mastery Program 20,finance-expert-mastery-program-20-20,Finance,Expert,Tamil,Self-paced,6,1999,USR030720,SKL00062|SKL00106|SKL00419|SKL00109|SKL00079|SKL00223,"This course builds practical capability in Finance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,4.2,9594,Under Review,2025-04-30
CRS000021,Project Management Expert Mastery Program 21,project-management-expert-mastery-program-21-21,Project Management,Expert,Bengali,Hybrid,12,9999,USR015167,SKL00390|SKL00194|SKL00096|SKL00231|SKL00499|SKL00233,"This course builds practical capability in Project Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,True,4.2,2056,Under Review,2024-07-27
CRS000022,HR Beginner Mastery Program 22,hr-beginner-mastery-program-22-22,HR,Beginner,Bengali,Live Instructor-led,60,49999,USR025395,SKL00245|SKL00037|SKL00365,"This course builds practical capability in HR through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,4.3,6549,Draft,2024-06-16
CRS000023,Leadership Beginner Mastery Program 23,leadership-beginner-mastery-program-23-23,Leadership,Beginner,English,Microlearning,12,49999,USR024840,SKL00247|SKL00016|SKL00175|SKL00194|SKL00149|SKL00130,"This course builds practical capability in Leadership through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,True,4.7,2690,Archived,2025-01-05
CRS000024,Healthcare Expert Mastery Program 24,healthcare-expert-mastery-program-24-24,Healthcare,Expert,Arabic,Hybrid,16,999,USR013805,SKL00054|SKL00251|SKL00154,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,4.6,438,Draft,2026-02-15
CRS000025,Full Stack Beginner Mastery Program 25,full-stack-beginner-mastery-program-25-25,Full Stack,Beginner,Kannada,Self-paced,40,0,USR002494,SKL00146|SKL00468|SKL00174|SKL00415|SKL00125,"This course builds practical capability in Full Stack through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.8,2528,Under Review,2025-06-05
CRS000026,Cloud Advanced Mastery Program 26,cloud-advanced-mastery-program-26-26,Cloud,Advanced,Bengali,Microlearning,80,9999,USR014133,SKL00005|SKL00090,"This course builds practical capability in Cloud through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,False,3.3,576,Published,2026-02-16
CRS000027,Project Management Advanced Mastery Program 27,project-management-advanced-mastery-program-27-27,Project Management,Advanced,Hindi,Live Instructor-led,80,14999,USR036708,SKL00441|SKL00062|SKL00227|SKL00491|SKL00485|SKL00036,"This course builds practical capability in Project Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.2,7865,Draft,2026-03-10
CRS000028,Manufacturing Intermediate Mastery Program 28,manufacturing-intermediate-mastery-program-28-28,Manufacturing,Intermediate,Telugu,Live Instructor-led,8,24999,USR043629,SKL00406|SKL00468|SKL00168|SKL00302|SKL00423,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.6,3214,Under Review,2025-10-26
CRS000029,AI Beginner Mastery Program 29,ai-beginner-mastery-program-29-29,AI,Beginner,Arabic,Microlearning,12,24999,USR005802,SKL00039|SKL00280|SKL00254|SKL00396,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.3,3193,Archived,2025-06-12
CRS000030,Finance Intermediate Mastery Program 30,finance-intermediate-mastery-program-30-30,Finance,Intermediate,Marathi,Hybrid,8,49999,USR019711,SKL00335|SKL00221|SKL00134,"This course builds practical capability in Finance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.9,8455,Archived,2025-09-05
CRS000031,Cybersecurity Expert Mastery Program 31,cybersecurity-expert-mastery-program-31-31,Cybersecurity,Expert,Kannada,Microlearning,80,999,USR003853,SKL00228|SKL00474,"This course builds practical capability in Cybersecurity through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,3.9,4639,Published,2024-10-11
CRS000032,AI Beginner Mastery Program 32,ai-beginner-mastery-program-32-32,AI,Beginner,Bengali,Hybrid,8,14999,USR016647,SKL00469|SKL00202|SKL00322,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,False,3.7,3257,Published,2024-09-26
CRS000033,Quality Management Advanced Mastery Program 33,quality-management-advanced-mastery-program-33-33,Quality Management,Advanced,Marathi,Self-paced,8,499,USR018080,SKL00364|SKL00095|SKL00234|SKL00459,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.6,4841,Archived,2025-06-12
CRS000034,Manufacturing Beginner Mastery Program 34,manufacturing-beginner-mastery-program-34-34,Manufacturing,Beginner,Arabic,Simulation Lab,4,24999,USR025868,SKL00403|SKL00440|SKL00152|SKL00180,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.5,1037,Archived,2024-10-18
CRS000035,Data Science Intermediate Mastery Program 35,data-science-intermediate-mastery-program-35-35,Data Science,Intermediate,French,Hybrid,16,999,USR039399,SKL00316|SKL00194|SKL00346|SKL00389,"This course builds practical capability in Data Science through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,False,4.7,2818,Under Review,2024-08-18
CRS000036,HR Advanced Mastery Program 36,hr-advanced-mastery-program-36-36,HR,Advanced,French,Hybrid,120,9999,USR043408,SKL00441|SKL00465|SKL00113|SKL00241|SKL00104,"This course builds practical capability in HR through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,3.3,1317,Archived,2025-03-11
CRS000037,Cloud Intermediate Mastery Program 37,cloud-intermediate-mastery-program-37-37,Cloud,Intermediate,Arabic,Live Instructor-led,8,24999,USR037740,SKL00195|SKL00250|SKL00198|SKL00293,"This course builds practical capability in Cloud through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.9,9358,Draft,2024-07-01
CRS000038,Project Management Advanced Mastery Program 38,project-management-advanced-mastery-program-38-38,Project Management,Advanced,Marathi,Live Instructor-led,2,49999,USR046619,SKL00271|SKL00354|SKL00307|SKL00071|SKL00407|SKL00448,"This course builds practical capability in Project Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,4.7,3356,Under Review,2025-10-05
CRS000039,AI Advanced Mastery Program 39,ai-advanced-mastery-program-39-39,AI,Advanced,Bengali,Simulation Lab,6,14999,USR030973,SKL00216|SKL00401|SKL00220|SKL00200|SKL00284,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,False,4.5,8635,Under Review,2025-09-30
CRS000040,Data Science Expert Mastery Program 40,data-science-expert-mastery-program-40-40,Data Science,Expert,Marathi,Simulation Lab,8,14999,USR016061,SKL00038|SKL00156,"This course builds practical capability in Data Science through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.2,4569,Draft,2026-04-07
CRS000041,Quality Management Expert Mastery Program 41,quality-management-expert-mastery-program-41-41,Quality Management,Expert,Marathi,Microlearning,40,24999,USR048137,SKL00428|SKL00415|SKL00454,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.2,1616,Published,2024-11-24
CRS000042,Manufacturing Beginner Mastery Program 42,manufacturing-beginner-mastery-program-42-42,Manufacturing,Beginner,Hindi,Simulation Lab,4,14999,USR035210,SKL00444|SKL00377|SKL00085,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.6,4196,Under Review,2024-07-21
CRS000043,Healthcare Intermediate Mastery Program 43,healthcare-intermediate-mastery-program-43-43,Healthcare,Intermediate,Hindi,Live Instructor-led,16,1999,USR017253,SKL00329|SKL00072,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.9,2461,Archived,2024-12-12
CRS000044,Healthcare Expert Mastery Program 44,healthcare-expert-mastery-program-44-44,Healthcare,Expert,Arabic,Microlearning,24,999,USR006508,SKL00497|SKL00310|SKL00480|SKL00352|SKL00239,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.8,1813,Under Review,2025-03-05
CRS000045,HR Intermediate Mastery Program 45,hr-intermediate-mastery-program-45-45,HR,Intermediate,Bengali,Live Instructor-led,16,4999,USR048090,SKL00399|SKL00257|SKL00016|SKL00309,"This course builds practical capability in HR through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,4.7,8295,Under Review,2025-07-08
CRS000046,Leadership Advanced Mastery Program 46,leadership-advanced-mastery-program-46-46,Leadership,Advanced,French,Live Instructor-led,40,49999,USR012605,SKL00350|SKL00377|SKL00103|SKL00261|SKL00300,"This course builds practical capability in Leadership through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.5,7331,Archived,2024-07-18
CRS000047,Sales Intermediate Mastery Program 47,sales-intermediate-mastery-program-47-47,Sales,Intermediate,Gujarati,Cohort-based,40,24999,USR034901,SKL00010|SKL00309|SKL00258|SKL00473|SKL00052|SKL00326,"This course builds practical capability in Sales through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,False,3.5,8241,Published,2024-06-07
CRS000048,Project Management Beginner Mastery Program 48,project-management-beginner-mastery-program-48-48,Project Management,Beginner,Bengali,Live Instructor-led,24,999,USR027078,SKL00268|SKL00099|SKL00438|SKL00381|SKL00350,"This course builds practical capability in Project Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.4,6670,Under Review,2025-12-23
CRS000049,Quality Management Expert Mastery Program 49,quality-management-expert-mastery-program-49-49,Quality Management,Expert,Tamil,Self-paced,40,9999,USR011343,SKL00383|SKL00339,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,3.6,3264,Draft,2024-06-20
CRS000050,Manufacturing Advanced Mastery Program 50,manufacturing-advanced-mastery-program-50-50,Manufacturing,Advanced,Kannada,Cohort-based,6,0,USR019976,SKL00455|SKL00137|SKL00376|SKL00031,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,False,4.4,1655,Draft,2025-04-28
CRS000051,Cybersecurity Advanced Mastery Program 51,cybersecurity-advanced-mastery-program-51-51,Cybersecurity,Advanced,Gujarati,Hybrid,40,0,USR001545,SKL00407|SKL00193|SKL00398|SKL00075|SKL00302,"This course builds practical capability in Cybersecurity through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.9,8692,Published,2024-09-28
CRS000052,Sales Expert Mastery Program 52,sales-expert-mastery-program-52-52,Sales,Expert,Telugu,Hybrid,120,4999,USR010926,SKL00087|SKL00113|SKL00497|SKL00362,"This course builds practical capability in Sales through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,False,4.7,5558,Under Review,2025-03-18
CRS000053,Quality Management Beginner Mastery Program 53,quality-management-beginner-mastery-program-53-53,Quality Management,Beginner,Hindi,Simulation Lab,80,499,USR048793,SKL00047|SKL00213|SKL00065,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,4.0,2289,Draft,2025-11-28
CRS000054,Sales Beginner Mastery Program 54,sales-beginner-mastery-program-54-54,Sales,Beginner,Hindi,Microlearning,24,9999,USR029744,SKL00198|SKL00009|SKL00422|SKL00207|SKL00394|SKL00163,"This course builds practical capability in Sales through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,True,3.9,2408,Under Review,2024-11-14
CRS000055,Quality Management Advanced Mastery Program 55,quality-management-advanced-mastery-program-55-55,Quality Management,Advanced,Hindi,Cohort-based,60,1999,USR035973,SKL00420|SKL00372|SKL00486,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,False,False,5.0,6136,Published,2026-04-02
CRS000056,Manufacturing Beginner Mastery Program 56,manufacturing-beginner-mastery-program-56-56,Manufacturing,Beginner,Marathi,Simulation Lab,2,499,USR018574,SKL00494|SKL00437|SKL00125|SKL00251,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.4,6881,Draft,2026-01-19
CRS000057,Leadership Expert Mastery Program 57,leadership-expert-mastery-program-57-57,Leadership,Expert,French,Simulation Lab,16,499,USR037417,SKL00159|SKL00463|SKL00156|SKL00207|SKL00350|SKL00443,"This course builds practical capability in Leadership through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.1,8864,Archived,2026-03-29
CRS000058,Full Stack Expert Mastery Program 58,full-stack-expert-mastery-program-58-58,Full Stack,Expert,Bengali,Hybrid,6,0,USR033807,SKL00391|SKL00004|SKL00232|SKL00023|SKL00357,"This course builds practical capability in Full Stack through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.3,9988,Archived,2026-04-22
CRS000059,Governance Advanced Mastery Program 59,governance-advanced-mastery-program-59-59,Governance,Advanced,Kannada,Hybrid,12,0,USR047330,SKL00494|SKL00258|SKL00029|SKL00037|SKL00124|SKL00112,"This course builds practical capability in Governance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.3,3664,Published,2025-08-22
CRS000060,Data Science Advanced Mastery Program 60,data-science-advanced-mastery-program-60-60,Data Science,Advanced,Kannada,Simulation Lab,6,24999,USR013991,SKL00177|SKL00471|SKL00061|SKL00225|SKL00227|SKL00347,"This course builds practical capability in Data Science through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.1,5931,Draft,2025-12-22
CRS000061,Full Stack Advanced Mastery Program 61,full-stack-advanced-mastery-program-61-61,Full Stack,Advanced,Gujarati,Simulation Lab,8,0,USR035847,SKL00413|SKL00210|SKL00100|SKL00175,"This course builds practical capability in Full Stack through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.7,1435,Archived,2026-04-06
CRS000062,Manufacturing Expert Mastery Program 62,manufacturing-expert-mastery-program-62-62,Manufacturing,Expert,English,Self-paced,60,24999,USR003798,SKL00212|SKL00080|SKL00416|SKL00142|SKL00314|SKL00410,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.5,6582,Draft,2026-01-13
CRS000063,Manufacturing Expert Mastery Program 63,manufacturing-expert-mastery-program-63-63,Manufacturing,Expert,Kannada,Microlearning,120,1999,USR033115,SKL00049|SKL00413|SKL00178|SKL00288|SKL00093,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.9,8511,Published,2025-12-26
CRS000064,Cybersecurity Intermediate Mastery Program 64,cybersecurity-intermediate-mastery-program-64-64,Cybersecurity,Intermediate,Telugu,Microlearning,120,499,USR014366,SKL00039|SKL00156,"This course builds practical capability in Cybersecurity through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,3.5,9555,Archived,2024-05-31
CRS000065,Healthcare Advanced Mastery Program 65,healthcare-advanced-mastery-program-65-65,Healthcare,Advanced,English,Self-paced,80,0,USR003607,SKL00213|SKL00370|SKL00001|SKL00088,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,4.0,3494,Under Review,2024-12-30
CRS000066,Full Stack Intermediate Mastery Program 66,full-stack-intermediate-mastery-program-66-66,Full Stack,Intermediate,Gujarati,Microlearning,2,499,USR027170,SKL00349|SKL00089|SKL00145|SKL00355,"This course builds practical capability in Full Stack through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,False,5.0,9272,Published,2025-04-15
CRS000067,Healthcare Advanced Mastery Program 67,healthcare-advanced-mastery-program-67-67,Healthcare,Advanced,Gujarati,Hybrid,16,499,USR031610,SKL00125|SKL00305,"This course builds practical capability in Healthcare through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,4.0,9159,Archived,2025-06-08
CRS000068,Manufacturing Intermediate Mastery Program 68,manufacturing-intermediate-mastery-program-68-68,Manufacturing,Intermediate,Kannada,Hybrid,60,14999,USR044208,SKL00496|SKL00111|SKL00277|SKL00125,"This course builds practical capability in Manufacturing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.1,9210,Published,2025-01-18
CRS000069,Governance Beginner Mastery Program 69,governance-beginner-mastery-program-69-69,Governance,Beginner,Marathi,Microlearning,40,999,USR038723,SKL00310|SKL00274|SKL00009|SKL00166|SKL00104|SKL00132,"This course builds practical capability in Governance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,4.4,3111,Published,2024-08-29
CRS000070,Cloud Expert Mastery Program 70,cloud-expert-mastery-program-70-70,Cloud,Expert,Bengali,Simulation Lab,6,1999,USR039621,SKL00355|SKL00497,"This course builds practical capability in Cloud through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,False,4.0,7532,Archived,2025-11-01
CRS000071,Digital Marketing Expert Mastery Program 71,digital-marketing-expert-mastery-program-71-71,Digital Marketing,Expert,French,Simulation Lab,6,1999,USR043442,SKL00310|SKL00312,"This course builds practical capability in Digital Marketing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.2,7209,Draft,2025-01-13
CRS000072,Quality Management Intermediate Mastery Program 72,quality-management-intermediate-mastery-program-72-72,Quality Management,Intermediate,French,Live Instructor-led,40,499,USR008091,SKL00330|SKL00428|SKL00147|SKL00198,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,3.3,8990,Under Review,2025-01-24
CRS000073,Finance Beginner Mastery Program 73,finance-beginner-mastery-program-73-73,Finance,Beginner,French,Self-paced,40,14999,USR029939,SKL00287|SKL00378|SKL00073|SKL00230,"This course builds practical capability in Finance through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.5,8944,Published,2025-04-28
CRS000074,Digital Marketing Intermediate Mastery Program 74,digital-marketing-intermediate-mastery-program-74-74,Digital Marketing,Intermediate,English,Simulation Lab,120,14999,USR022053,SKL00002|SKL00111|SKL00123,"This course builds practical capability in Digital Marketing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.8,8764,Archived,2025-05-07
CRS000075,Digital Marketing Expert Mastery Program 75,digital-marketing-expert-mastery-program-75-75,Digital Marketing,Expert,Gujarati,Hybrid,60,9999,USR019061,SKL00481|SKL00104,"This course builds practical capability in Digital Marketing through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,3.9,8958,Archived,2024-10-21
CRS000076,Quality Management Advanced Mastery Program 76,quality-management-advanced-mastery-program-76-76,Quality Management,Advanced,Bengali,Cohort-based,12,999,USR020314,SKL00379|SKL00200|SKL00183,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",False,True,True,4.1,64,Draft,2026-03-02
CRS000077,Data Science Intermediate Mastery Program 77,data-science-intermediate-mastery-program-77-77,Data Science,Intermediate,English,Hybrid,120,9999,USR035188,SKL00453|SKL00119,"This course builds practical capability in Data Science through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,False,3.4,2291,Draft,2025-03-15
CRS000078,AI Expert Mastery Program 78,ai-expert-mastery-program-78-78,AI,Expert,French,Simulation Lab,24,0,USR040703,SKL00034|SKL00296|SKL00202|SKL00234,"This course builds practical capability in AI through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,False,True,4.2,3218,Published,2026-01-07
CRS000079,Quality Management Advanced Mastery Program 79,quality-management-advanced-mastery-program-79-79,Quality Management,Advanced,Kannada,Cohort-based,12,0,USR024874,SKL00122|SKL00052|SKL00445|SKL00068|SKL00360,"This course builds practical capability in Quality Management through adaptive lessons, projects, AI tutor support, gamified assessments, and credential-linked outcomes.",True,True,True,4.7,967,Under Review,2025-12-06
