thread_id,category,course_id,created_by_user_id,title,description,reply_count,accepted_answer_user_id,ai_answer_generated,status,created_at
FRM000060,Career Guidance,CRS049643,USR020066,How to solve a practical challenge in Leadership? #60,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",3,,False,Resolved,2026-04-26
FRM000061,Doubt Solving,CRS029970,USR020333,How to solve a practical challenge in Full Stack? #61,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",96,USR016438,True,Closed,2026-04-18
FRM000062,Assessment Help,CRS046271,USR029738,How to solve a practical challenge in Project Management? #62,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",55,USR007190,False,Open,2026-02-07
FRM000063,Project Help,CRS042400,USR039038,How to solve a practical challenge in Leadership? #63,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",239,,False,Open,2026-01-21
FRM000064,Doubt Solving,CRS039139,USR000956,How to solve a practical challenge in Quality Management? #64,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",73,,True,Resolved,2026-04-28
FRM000065,AI Forum,CRS018613,USR028368,How to solve a practical challenge in Project Management? #65,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",262,USR020679,False,Pinned,2026-04-13
FRM000066,Assessment Help,,USR045239,How to solve a practical challenge in Full Stack? #66,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",142,,False,Pinned,2026-04-29
FRM000067,Doubt Solving,CRS031060,USR041283,How to solve a practical challenge in Healthcare? #67,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",243,,True,Resolved,2026-03-02
FRM000068,Industry Discussion,,USR014397,How to solve a practical challenge in Data Science? #68,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",238,,True,Open,2026-05-04
FRM000069,AI Forum,CRS015280,USR021272,How to solve a practical challenge in Data Science? #69,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",56,USR039473,False,Pinned,2026-03-15
FRM000070,AI Forum,CRS033657,USR049017,How to solve a practical challenge in Project Management? #70,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",189,USR022083,False,Resolved,2026-01-06
FRM000071,Doubt Solving,,USR023897,How to solve a practical challenge in Project Management? #71,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",41,,True,Closed,2026-03-09
FRM000072,Career Guidance,CRS040724,USR025272,How to solve a practical challenge in Full Stack? #72,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",151,,True,Resolved,2026-03-28
FRM000073,Doubt Solving,,USR015470,How to solve a practical challenge in Leadership? #73,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",210,USR044156,False,Open,2026-04-06
FRM000074,Trainer Q&A,CRS031689,USR005313,How to solve a practical challenge in Finance? #74,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",1,USR049532,False,Resolved,2026-01-31
FRM000075,Industry Discussion,CRS005229,USR030732,How to solve a practical challenge in Healthcare? #75,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",238,USR016776,False,Pinned,2025-11-21
FRM000076,Industry Discussion,,USR037605,How to solve a practical challenge in Quality Management? #76,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",47,USR005843,True,Resolved,2026-01-16
FRM000077,Trainer Q&A,,USR003933,How to solve a practical challenge in Sales? #77,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",102,USR018720,False,Resolved,2026-03-24
FRM000078,Assessment Help,CRS042442,USR021866,How to solve a practical challenge in Quality Management? #78,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",182,USR049907,True,Open,2025-12-18
FRM000079,AI Forum,CRS031368,USR014048,How to solve a practical challenge in Cybersecurity? #79,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",108,USR023021,False,Closed,2026-01-26
FRM000080,Doubt Solving,,USR048754,How to solve a practical challenge in Digital Marketing? #80,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Digital Marketing.",105,USR008507,True,Open,2025-11-21
FRM000081,Career Guidance,,USR033328,How to solve a practical challenge in Sales? #81,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",288,,False,Open,2026-01-10
FRM000082,Trainer Q&A,CRS012384,USR037597,How to solve a practical challenge in HR? #82,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",14,,True,Closed,2026-05-04
FRM000083,Project Help,,USR005841,How to solve a practical challenge in Cybersecurity? #83,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",185,USR028432,True,Open,2026-02-16
FRM000084,Industry Discussion,CRS046941,USR005370,How to solve a practical challenge in Sales? #84,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",252,USR010577,False,Open,2026-04-05
FRM000085,Trainer Q&A,,USR021406,How to solve a practical challenge in Governance? #85,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",213,USR020579,False,Resolved,2026-01-13
FRM000086,Project Help,CRS003369,USR030030,How to solve a practical challenge in AI? #86,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",95,,True,Resolved,2026-02-10
FRM000087,Assessment Help,CRS049929,USR008949,How to solve a practical challenge in Leadership? #87,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",92,USR024439,True,Open,2026-03-01
FRM000088,Trainer Q&A,CRS041615,USR015658,How to solve a practical challenge in Manufacturing? #88,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Manufacturing.",148,,False,Closed,2026-04-07
FRM000089,Career Guidance,CRS022295,USR037974,How to solve a practical challenge in Project Management? #89,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",174,,True,Open,2025-12-28
FRM000090,Project Help,CRS009735,USR038278,How to solve a practical challenge in Governance? #90,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",169,USR046747,True,Closed,2025-12-19
FRM000091,Career Guidance,CRS019991,USR000097,How to solve a practical challenge in Full Stack? #91,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",256,,True,Resolved,2026-01-12
FRM000092,Trainer Q&A,CRS012422,USR020310,How to solve a practical challenge in Cloud? #92,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",153,USR030767,False,Open,2026-03-29
FRM000093,Project Help,CRS048760,USR042717,How to solve a practical challenge in Cloud? #93,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",159,,False,Pinned,2026-01-25
FRM000094,AI Forum,,USR019622,How to solve a practical challenge in Finance? #94,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",290,USR026223,False,Resolved,2025-11-19
FRM000095,Career Guidance,CRS043993,USR036352,How to solve a practical challenge in Cloud? #95,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",247,,False,Pinned,2025-11-17
FRM000096,Doubt Solving,CRS019934,USR005117,How to solve a practical challenge in Cybersecurity? #96,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",2,USR012336,True,Resolved,2026-02-22
FRM000097,Doubt Solving,,USR006652,How to solve a practical challenge in Digital Marketing? #97,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Digital Marketing.",91,USR010781,True,Pinned,2026-04-26
FRM000098,Assessment Help,CRS041639,USR002782,How to solve a practical challenge in Project Management? #98,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",200,USR013316,True,Closed,2025-11-20
FRM000099,Doubt Solving,CRS017688,USR000624,How to solve a practical challenge in Healthcare? #99,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",68,USR025660,False,Pinned,2026-01-17
FRM000100,Project Help,,USR048278,How to solve a practical challenge in Sales? #100,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",59,USR033144,True,Closed,2025-12-09
FRM000101,Trainer Q&A,CRS014705,USR006035,How to solve a practical challenge in Cybersecurity? #101,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",227,,True,Resolved,2025-11-26
FRM000102,Assessment Help,,USR003318,How to solve a practical challenge in Cybersecurity? #102,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",0,USR016065,True,Open,2026-03-02
FRM000103,Industry Discussion,CRS033378,USR025477,How to solve a practical challenge in Manufacturing? #103,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Manufacturing.",258,,True,Resolved,2026-01-12
FRM000104,Assessment Help,CRS023637,USR045977,How to solve a practical challenge in Project Management? #104,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",172,,False,Pinned,2025-12-02
FRM000105,AI Forum,CRS022686,USR045707,How to solve a practical challenge in Data Science? #105,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",65,,True,Resolved,2026-05-05
FRM000106,Project Help,,USR031485,How to solve a practical challenge in Cybersecurity? #106,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",277,,True,Open,2026-01-29
FRM000107,Doubt Solving,,USR027937,How to solve a practical challenge in Sales? #107,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",194,USR001401,True,Pinned,2026-04-04
FRM000108,Trainer Q&A,CRS020859,USR042816,How to solve a practical challenge in Data Science? #108,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",278,,True,Closed,2026-03-29
FRM000109,Career Guidance,CRS028302,USR005447,How to solve a practical challenge in Sales? #109,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",53,USR033026,True,Resolved,2026-04-05
FRM000110,AI Forum,CRS000902,USR007079,How to solve a practical challenge in Full Stack? #110,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",195,,False,Closed,2025-11-30
FRM000111,Career Guidance,CRS026956,USR039720,How to solve a practical challenge in Leadership? #111,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",78,,True,Open,2025-12-25
FRM000112,Project Help,CRS033095,USR027562,How to solve a practical challenge in Governance? #112,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",190,USR000499,True,Pinned,2025-12-29
FRM000113,Industry Discussion,CRS032848,USR016162,How to solve a practical challenge in Healthcare? #113,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",90,USR003067,True,Resolved,2025-11-19
FRM000114,Career Guidance,CRS008815,USR031618,How to solve a practical challenge in Cybersecurity? #114,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",108,,True,Open,2026-01-14
FRM000115,AI Forum,CRS004226,USR047990,How to solve a practical challenge in Finance? #115,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",234,USR006834,True,Resolved,2026-01-21
FRM000116,Industry Discussion,CRS033953,USR021894,How to solve a practical challenge in Sales? #116,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",269,,True,Resolved,2026-02-21
FRM000117,Career Guidance,,USR038362,How to solve a practical challenge in Quality Management? #117,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",75,,True,Pinned,2026-05-11
FRM000118,Industry Discussion,CRS048008,USR029310,How to solve a practical challenge in Sales? #118,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",90,,True,Open,2026-02-15
FRM000119,AI Forum,,USR035965,How to solve a practical challenge in Healthcare? #119,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",43,USR011869,False,Resolved,2026-01-26
FRM000120,Trainer Q&A,CRS032986,USR015902,How to solve a practical challenge in Data Science? #120,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",245,,False,Pinned,2025-12-04
FRM000121,Career Guidance,,USR025853,How to solve a practical challenge in AI? #121,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to AI.",207,USR039772,False,Pinned,2026-01-26
FRM000122,Industry Discussion,CRS001413,USR026799,How to solve a practical challenge in Cloud? #122,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cloud.",86,USR036657,True,Closed,2025-12-04
FRM000123,Career Guidance,CRS037333,USR042759,How to solve a practical challenge in Data Science? #123,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Data Science.",262,USR046934,False,Closed,2026-03-05
FRM000124,Doubt Solving,,USR007140,How to solve a practical challenge in Digital Marketing? #124,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Digital Marketing.",300,,True,Open,2026-03-05
FRM000125,Project Help,CRS007854,USR035207,How to solve a practical challenge in HR? #125,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to HR.",282,USR007818,True,Closed,2026-05-04
FRM000126,Project Help,CRS040117,USR031476,How to solve a practical challenge in Healthcare? #126,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",221,,True,Pinned,2025-12-14
FRM000127,Career Guidance,CRS008317,USR028323,How to solve a practical challenge in Full Stack? #127,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",48,USR047847,True,Closed,2025-11-28
FRM000128,Doubt Solving,CRS044213,USR047414,How to solve a practical challenge in Leadership? #128,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",19,USR036083,True,Resolved,2026-01-23
FRM000129,Project Help,,USR010386,How to solve a practical challenge in Healthcare? #129,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",263,USR032526,False,Closed,2026-05-03
FRM000130,Trainer Q&A,CRS029929,USR032872,How to solve a practical challenge in Project Management? #130,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",207,USR010626,False,Closed,2025-12-31
FRM000131,Assessment Help,,USR024872,How to solve a practical challenge in Manufacturing? #131,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Manufacturing.",72,,True,Resolved,2025-12-05
FRM000132,Doubt Solving,,USR023840,How to solve a practical challenge in Governance? #132,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",163,,False,Open,2025-12-03
FRM000133,Project Help,CRS017673,USR027008,How to solve a practical challenge in Governance? #133,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Governance.",125,USR005718,True,Pinned,2026-02-06
FRM000134,Doubt Solving,,USR026008,How to solve a practical challenge in Project Management? #134,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",69,,False,Pinned,2026-02-24
FRM000135,Industry Discussion,CRS042014,USR038040,How to solve a practical challenge in Finance? #135,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",49,,False,Resolved,2026-03-04
FRM000136,AI Forum,CRS010479,USR014685,How to solve a practical challenge in Sales? #136,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Sales.",232,USR048855,True,Resolved,2025-12-03
FRM000137,Trainer Q&A,CRS042603,USR009454,How to solve a practical challenge in Finance? #137,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",161,,True,Pinned,2026-01-08
FRM000138,Doubt Solving,CRS049768,USR023681,How to solve a practical challenge in Leadership? #138,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Leadership.",116,,True,Closed,2026-02-02
FRM000139,Project Help,CRS024789,USR045390,How to solve a practical challenge in Finance? #139,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Finance.",254,,False,Resolved,2026-04-14
FRM000140,AI Forum,CRS011942,USR036669,How to solve a practical challenge in Quality Management? #140,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Quality Management.",188,,False,Resolved,2026-04-15
FRM000141,Doubt Solving,CRS042348,USR039641,How to solve a practical challenge in Healthcare? #141,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Healthcare.",88,USR042619,True,Closed,2026-03-06
FRM000142,AI Forum,CRS022908,USR029702,How to solve a practical challenge in Full Stack? #142,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Full Stack.",143,USR011485,True,Open,2026-02-17
FRM000143,AI Forum,CRS039157,USR016830,How to solve a practical challenge in Cybersecurity? #143,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Cybersecurity.",86,,True,Closed,2026-03-03
FRM000144,Assessment Help,,USR012144,How to solve a practical challenge in Project Management? #144,"Community discussion thread for peer learning, AI tutor guidance, and expert answers related to Project Management.",233,USR007737,True,Resolved,2026-04-16
